iter	Logloss
0	0.6908350798
1	0.6885292525
2	0.6862206844
3	0.684020479
4	0.6818776777
5	0.6796887908
6	0.6774610202
7	0.6753579843
8	0.6733977737
9	0.6713860167
10	0.6693107643
11	0.6673544
12	0.6653485821
13	0.6634484604
14	0.6615020489
15	0.6596185954
16	0.657857963
17	0.6560196168
18	0.6542015097
19	0.6524594137
20	0.6507377241
21	0.6489766045
22	0.647267933
23	0.6456543014
24	0.6440538599
25	0.6424230388
26	0.6408306034
27	0.6392476603
28	0.6375823744
29	0.6360963671
30	0.6345831981
31	0.6330616514
32	0.6316151373
33	0.6300727086
34	0.6284979422
35	0.6269917332
36	0.6255433973
37	0.6242734376
38	0.6228170154
39	0.6215008738
40	0.6202765201
41	0.6190055777
42	0.617703651
43	0.6163852662
44	0.615084628
45	0.6138277412
46	0.6126356978
47	0.611399133
48	0.6102114151
49	0.609013427
50	0.6078228535
51	0.6066562423
52	0.6055111411
53	0.6044138713
54	0.6033483765
55	0.6022993823
56	0.6012228567
57	0.6001312414
58	0.598981185
59	0.5979935925
60	0.5969477962
61	0.5959083126
62	0.5948479868
63	0.5939502002
64	0.5929982158
65	0.59208448
66	0.5912175039
67	0.5903526143
68	0.5894365738
69	0.5884762369
70	0.5875792363
71	0.5865797129
72	0.5856885349
73	0.5848603872
74	0.5840252914
75	0.5833231074
76	0.5825274333
77	0.5817754614
78	0.5809689761
79	0.5801031557
80	0.5792678011
81	0.5784470391
82	0.5775863941
83	0.5769089374
84	0.5761956676
85	0.5754329198
86	0.5748195838
87	0.5740326715
88	0.5732812583
89	0.5725486613
90	0.571883188
91	0.5711867695
92	0.5705913506
93	0.5699277267
94	0.5693571586
95	0.5687511867
96	0.5681512714
97	0.5675124171
98	0.5668912203
99	0.5662059701
100	0.5656127428
101	0.5650348107
102	0.5643695602
103	0.5637408043
104	0.5632030172
105	0.5626587778
106	0.5620724108
107	0.5615241198
108	0.5609810193
109	0.560407593
110	0.559847746
111	0.5592655922
112	0.5588157025
113	0.5582411658
114	0.5576632628
115	0.557125421
116	0.556545726
117	0.5560872113
118	0.5556787977
119	0.5551642156
120	0.554603239
121	0.5541929064
122	0.5536895032
123	0.5532090461
124	0.5527650653
125	0.5523231013
126	0.5519005869
127	0.5514429934
128	0.5510418155
129	0.550659589
130	0.5501916786
131	0.5497992125
132	0.5494101501
133	0.5490002938
134	0.5486216186
135	0.5482100311
136	0.5477630541
137	0.5473362496
138	0.5469409715
139	0.5464831289
140	0.5461886832
141	0.5458865133
142	0.5455424133
143	0.5451919478
144	0.5448667082
145	0.544532355
146	0.5442152441
147	0.5438888476
148	0.5435754757
149	0.5432347258
150	0.5429089897
151	0.5426173404
152	0.542323636
153	0.5420139829
154	0.5416528056
155	0.5413852151
156	0.5410514747
157	0.5407645481
158	0.5404839002
159	0.5401372702
160	0.5398512243
161	0.5394963512
162	0.5391617561
163	0.5388622832
164	0.5385948475
165	0.5383438224
