iter	Passed	Remaining
0	108	325053
1	213	320155
2	317	317115
3	420	314863
4	529	317324
5	633	316007
6	737	315490
7	834	312123
8	936	311307
9	1040	311087
10	1148	312063
11	1255	312668
12	1360	312567
13	1472	314133
14	1575	313599
15	1679	313203
16	1784	313156
17	1886	312511
18	1996	313185
19	2092	311777
20	2190	310765
21	2298	311077
22	2407	311667
23	2514	311826
24	2630	313050
25	2749	314523
26	2850	313841
27	2942	312353
28	3038	311331
29	3127	309585
30	3216	308105
31	3311	307110
32	3415	307110
33	3510	306199
34	3608	305707
35	3706	305176
36	3798	304181
37	3896	303755
38	3991	303021
39	4097	303222
40	4192	302580
41	4287	301971
42	4379	301138
43	4470	300351
44	4566	299887
45	4657	299110
46	4742	297975
47	4833	297283
48	4928	296795
49	5021	296250
50	5111	295553
51	5205	295087
52	5300	294714
53	5394	294325
54	5490	293981
55	5588	293794
56	5682	293385
57	5769	292651
58	5857	292003
59	5951	291617
60	6044	291246
61	6137	290827
62	6222	290101
63	6318	289867
64	6414	289634
65	6515	289653
66	6623	289957
67	6738	290536
68	6851	291021
69	6964	291493
70	7061	291299
71	7155	291001
72	7421	297586
73	7619	301296
74	7714	300857
75	7806	300346
76	7900	299901
77	7990	299330
78	8084	298914
79	8187	298850
80	8287	298651
81	8399	298911
82	8499	298694
83	8592	298291
84	8685	297868
85	8785	297675
86	8895	297843
87	8992	297560
88	9102	297712
89	9195	297316
90	9293	297096
91	9385	296671
92	9471	296074
93	9581	296197
94	9677	295934
95	9782	295923
96	9894	296111
97	9995	295995
98	10090	295677
99	10192	295576
100	10300	295645
101	10391	295228
102	10485	294926
103	10593	294999
104	10685	294622
105	10781	294361
106	10884	294300
107	10989	294261
108	11092	294211
109	11214	294637
110	11312	294426
111	11411	294243
112	11508	294014
113	11597	293611
114	11692	293318
115	11786	293026
116	11883	292823
117	11975	292489
118	12080	292465
119	12185	292460
120	12284	292290
121	12382	292097
122	12476	291839
123	12577	291720
124	12673	291493
125	12763	291137
126	12861	290957
127	12960	290791
128	13054	290540
129	13151	290339
130	13308	291475
131	13544	294281
132	13646	294172
133	13740	293873
134	13829	293498
135	13930	293353
136	14029	293179
137	14369	298010
138	14494	298333
139	14605	298371
140	14773	299564
141	14907	300033
142	15043	300544
143	15140	300295
144	15247	300219
145	15344	299962
146	15446	299788
147	15550	299654
148	15651	299487
149	15744	299139
150	15842	298914
151	15929	298464
152	16022	298138
153	16117	297856
154	16214	297620
155	16307	297304
156	16394	296869
157	16487	296563
158	16575	296160
159	16671	295919
160	16765	295634
161	16859	295357
162	16951	295031
163	17042	294708
164	17134	294405
165	17229	294151
166	17323	293876
167	17420	293656
168	17526	293595
169	17623	293378
170	17719	293155
171	17812	292869
172	17910	292679
173	18005	292435
174	18100	292196
175	18191	291885
176	18284	291629
177	18378	291367
178	18475	291167
179	18570	290941
180	18666	290716
181	18765	290558
182	18860	290325
183	18958	290139
184	19047	289828
185	19139	289564
186	19226	289227
187	19325	289055
188	19425	288921
189	19530	288842
190	19619	288535
191	19722	288443
192	19824	288331
193	19913	288029
194	20013	287885
195	20108	287667
196	20196	287358
197	20284	287052
198	20383	286905
199	20475	286654
200	20564	286368
201	20658	286150
202	20750	285913
203	20843	285675
204	20943	285542
205	21032	285270
206	21131	285120
207	21229	284968
208	21330	284849
209	21424	284636
210	21519	284449
211	21606	284148
212	21698	283911
213	21796	283759
214	21885	283498
215	21982	283324
216	22075	283111
217	22165	282864
218	22258	282649
219	22353	282463
220	22455	282371
221	22543	282100
222	22639	281933
223	22731	281711
